20/10/2022	13:30:27 	 6fe121a0-e835-439c-be2a-746f78859fb0 	 GET 	 undefined 	 /dashboard
20/10/2022	13:30:32 	 e9d2c69e-221c-40a2-ae70-d5eb7e3f04a5 	 GET 	 undefined 	 /index
20/10/2022	13:30:32 	 d7508ad5-1664-40cf-aef1-cc4c87966c5f 	 GET 	 undefined 	 /css/style.css
20/10/2022	13:30:36 	 81c58699-75ba-472d-ad5a-9d632f53c4be 	 GET 	 undefined 	 /new-page
20/10/2022	13:30:36 	 b8877659-101c-4b1c-b9ce-b470d04c06cc 	 GET 	 undefined 	 /css/style.css
20/10/2022	13:30:36 	 ce542088-d089-4c1b-9e86-2cf91af7d346 	 GET 	 undefined 	 /img/img1.jpg
20/10/2022	13:30:38 	 8c8f3613-91b6-4007-8ac5-65eaa7f689b4 	 GET 	 undefined 	 /css/style.css
25/10/2022	12:28:24 	 98c0a902-c8ff-469f-9ae6-8e4d4f563d93 	 GET 	 undefined 	 /
25/10/2022	12:28:24 	 36dd7115-1eb1-4f73-866f-5872a552fe3e 	 GET 	 undefined 	 /css/style.css
25/10/2022	12:28:24 	 fc0772dd-00b0-49ac-b0dd-83f817b149fd 	 GET 	 undefined 	 /favicon.ico
25/10/2022	12:28:30 	 2a222ded-b4b5-4bb2-a0a5-4217d692ff2d 	 GET 	 undefined 	 /about
25/10/2022	12:28:30 	 c31a288b-879a-4b03-8bd6-9e64957e84c0 	 GET 	 undefined 	 /css/style.css
25/10/2022	12:28:32 	 3532be30-92b2-4e0b-a43e-41afcd574b00 	 GET 	 undefined 	 /new-page
25/10/2022	12:28:32 	 1aaac0ce-55c6-4b7a-a282-b3793a4d7232 	 GET 	 undefined 	 /img/img1.jpg
25/10/2022	12:28:32 	 048ff977-bd1f-494a-8bc2-b943951d5c94 	 GET 	 undefined 	 /css/style.css
25/10/2022	12:28:35 	 408f1648-a5d2-4bbf-b724-4d7470814a4b 	 GET 	 undefined 	 /
25/10/2022	12:28:35 	 17b80936-99a8-4f02-bcce-7fbc2690aa5d 	 GET 	 undefined 	 /css/style.css
